0.8 -1.72942 132830000000 steps
166.122 0.396394 
n radius_n error   
0 0 0
1 1 4.80933e-09
2 2.66671 0.000320651
3 4.32874 0.000618923
4 6.67906 0.00108345
5 8.73362 0.0021435
6 11.4831 0.00215342
7 13.7398 0.00303878
8 16.8069 0.00377116
9 19.3217 0.00476479
10 22.6068 0.005704
11 25.3743 0.00693999
12 28.8772 0.00842857
13 31.8602 0.00956244
14 35.5653 0.0108489
15 38.7642 0.0141832
16 42.6681 0.0162549
17 46.0488 0.0184388
18 50.1276 0.0200771
19 53.7014 0.0228488
20 57.9713 0.0247337
21 61.7152 0.0273381
22 66.1251 0.0295055
23 70.0269 0.032436
24 74.5962 0.0347524
25 78.6841 0.0422204
26 83.4124 0.0490989
27 87.6565 0.0505462
28 92.5282 0.0560355
29 96.9267 0.05695
30 101.954 0.0579009
31 106.53 0.0598333
32 111.663 0.0653901
33 116.361 0.0679794
34 121.65 0.0681319
35 126.484 0.0723043
36 131.896 0.0732967
37 136.83 0.0734062
38 142.367 0.0783662
39 147.476 0.0801057
40 153.145 0.0853234
41 158.346 0.0930066
42 164.085 0.0938448
43 169.415 0.107938
44 175.329 0.103851
45 180.835 0.107872
46 186.835 0.117956
47 192.444 0.118635
48 198.596 0.127781
49 204.349 0.131129
50 210.592 0.135792
51 216.457 0.148627
52 222.798 0.148768
53 228.801 0.163401
54 235.29 0.15278
55 241.354 0.160782
56 247.905 0.160083
57 254.039 0.168669
58 260.688 0.169883
59 266.9 0.18359
60 273.691 0.192454
61 280.09 0.193258
62 286.882 0.209035
63 293.365 0.244359
64 300.405 0.260096
65 306.977 0.275084
66 314.022 0.25963
67 320.676 0.251559
68 327.798 0.262657
69 334.61 0.26826
70 341.913 0.253171
71 348.84 0.267756
72 356.209 0.288706
73 363.252 0.306346
74 370.663 0.267785
75 377.654 0.275838
76 385.206 0.296249
77 392.4 0.300981
78 400.011 0.303702
79 407.329 0.338676
80 415.101 0.326993
81 422.526 0.321621
82 430.304 0.333765
83 437.873 0.351425
84 445.698 0.393078
85 453.392 0.373755
86 461.469 0.40582
87 469.182 0.440606
88 477.358 0.415183
89 485.112 0.405513
90 493.253 0.408903
91 501.123 0.400626
92 509.245 0.455042
93 517.196 0.455959
94 525.629 0.53233
95 533.634 0.606214
96 541.965 0.621357
97 549.956 0.626717
98 558.493 0.570179
99 566.74 0.616074
100 575.189 0.627369
101 583.663 0.681565
102 592.17 0.664791
103 600.375 0.644175
104 609.102 0.658993
105 617.396 0.6309
106 626.239 0.581315
107 634.579 0.570355
108 643.598 0.599188
109 652.096 0.611535
110 661.053 0.645213
111 669.684 0.679251
112 678.806 0.738245
113 687.497 0.694928
114 696.381 0.754368
115 705.141 0.753651
116 714.243 0.745423
117 723.282 0.765623
118 732.527 0.79769
119 741.622 0.857293
120 751.103 0.942175
121 760.333 0.92663
122 769.759 0.912612
123 778.948 0.941748
124 788.41 0.94093
125 797.639 0.977847
126 807.339 0.980085
127 816.44 0.951651
128 826.123 0.986437
129 835.55 0.949183
130 845.365 1.05675
131 854.812 1.15115
132 864.443 1.18248
133 873.524 1.13312
134 883.361 1.21161
135 892.817 1.15384
136 902.781 1.22428
137 912.589 1.2789
138 922.46 1.22541
139 932.261 1.11564
140 942.03 1.26987
141 951.728 1.176
142 961.655 1.21566
143 971.926 1.29388
144 982.068 1.2695
145 991.941 1.24928
146 1002.29 1.28266
147 1012.33 1.40588
148 1022.64 1.33353
149 1032.45 1.28409
150 1042.95 1.24841
151 1053.1 1.21099
152 1063.02 1.29043
153 1073.23 1.28193
154 1083.99 1.21681
155 1094.19 1.33072
156 1105.32 1.26471
157 1115.4 1.27174
158 1126.55 1.30509
159 1137.28 1.3294
160 1148.34 1.33679
161 1158.78 1.41982
162 1169.69 1.37364
163 1180.05 1.4156
164 1190.71 1.47354
165 1201.22 1.49738
166 1211.73 1.44846
167 1222.6 1.48638
168 1233.7 1.51813
169 1244.31 1.54493
170 1255.57 1.58384
171 1266.17 1.59615
172 1277.34 1.68423
173 1288.31 1.6271
174 1299.5 1.65234
175 1310.27 1.67426
176 1321.74 1.67571
177 1333.01 1.73587
178 1343.78 1.71749
179 1354.71 1.77462
180 1365.76 1.7451
181 1377.06 1.85955
182 1388.31 1.90937
183 1399.12 1.86851
184 1410.6 1.90452
185 1421.55 1.86688
186 1433.1 1.89037
187 1444.76 1.95917
188 1456.03 1.97705
189 1467.86 1.96255
190 1479.53 2.03676
191 1490.79 2.07238
192 1502.28 2.13158
193 1513.7 2.1887
194 1525.13 2.14136
195 1537.16 2.15089
196 1548.84 2.22828
197 1560.37 2.24772
198 1571.87 2.28957
199 1583.76 2.29009
200 1595.37 2.33061
201 1606.92 2.38975
202 1619.12 2.3913
203 1630.81 2.45652
204 1642.83 2.51112
205 1655.24 2.52239
206 1667 2.44347
207 1678.12 2.57657
208 1690.35 2.65972
209 1703.1 2.69431
210 1715.37 2.56117
211 1726.96 2.65734
212 1739 2.71601
213 1751.25 2.75659
214 1763.3 2.75374
215 1775.9 2.75062
216 1788.26 2.79752
217 1798.65 2.82297
218 1811.16 2.83245
219 1824.23 2.98163
220 1836.46 2.93516
221 1848.5 3.05284
222 1861.21 3.06734
