1 -1.76116 143320000000 steps
151.333 0.327125 
n radius_n error   
0 0 0
1 1 4.30159e-09
2 2.66663 0.000223626
3 4.24569 0.000545922
4 6.55073 0.000867714
5 8.41953 0.00157144
6 11.0757 0.00198961
7 13.0262 0.00292083
8 15.9453 0.00333052
9 18.0637 0.00424392
10 21.1387 0.00517581
11 23.4441 0.00691089
12 26.6693 0.00781749
13 29.1252 0.00915802
14 32.5048 0.00992647
15 35.0938 0.0112986
16 38.6307 0.0124922
17 41.3538 0.0161217
18 45.0069 0.018097
19 47.8545 0.0198196
20 51.6444 0.0196829
21 54.6122 0.0225268
22 58.5134 0.0233866
23 61.5887 0.0265151
24 65.6192 0.0285581
25 68.8287 0.0320445
26 72.9423 0.0329504
27 76.2289 0.0373154
28 80.4601 0.039486
29 83.8813 0.0389922
30 88.2159 0.0425676
31 91.7426 0.0419495
32 96.2054 0.0438613
33 99.856 0.0475257
34 104.408 0.0497124
35 108.135 0.0517103
36 112.758 0.0553943
37 116.577 0.0577967
38 121.271 0.0613415
39 125.172 0.0670597
40 129.973 0.0708694
41 133.997 0.0755655
42 138.885 0.0847652
43 142.995 0.082326
44 147.96 0.0868899
45 152.137 0.0867452
46 157.204 0.0886657
47 161.475 0.0969889
48 166.581 0.099029
49 170.953 0.101377
50 176.182 0.105172
51 180.664 0.111218
52 185.887 0.111851
53 190.438 0.119729
54 195.805 0.128241
55 200.432 0.138385
56 205.853 0.136183
57 210.477 0.13516
58 216.044 0.13914
59 220.848 0.151113
60 226.498 0.147674
61 231.308 0.164878
62 236.92 0.169475
63 241.846 0.178643
64 247.562 0.171003
65 252.552 0.175971
66 258.378 0.20655
67 263.479 0.221249
68 269.312 0.249473
69 274.414 0.235561
70 280.38 0.234228
71 285.592 0.234013
72 291.663 0.209892
73 296.992 0.228028
74 303.082 0.255875
75 308.425 0.269042
76 314.619 0.269196
77 320.129 0.277878
78 326.294 0.26978
79 331.855 0.277687
80 338.175 0.278955
81 343.775 0.287724
82 350.093 0.293938
83 355.699 0.325578
84 362.163 0.320288
85 367.902 0.333115
86 374.422 0.302924
87 380.199 0.323632
88 386.558 0.333836
89 392.445 0.327269
90 399.082 0.346349
91 404.896 0.375158
92 411.657 0.356703
93 417.579 0.369292
94 424.465 0.406349
95 430.456 0.379638
96 437.507 0.397696
97 443.549 0.391988
98 450.483 0.390058
99 456.63 0.446685
100 463.356 0.481131
101 469.692 0.484374
102 476.603 0.517727
103 482.807 0.472407
104 490.112 0.462438
105 496.315 0.452428
106 503.428 0.467677
107 509.84 0.498234
108 517.153 0.489375
109 523.403 0.502813
110 530.741 0.515074
111 537.121 0.532645
112 544.5 0.522101
113 550.998 0.566043
114 558.287 0.566683
115 565.013 0.594029
116 572.202 0.552421
117 578.949 0.591448
118 586.404 0.60655
119 593.159 0.603551
120 600.595 0.657831
121 607.498 0.714184
122 614.996 0.65382
123 621.617 0.730081
124 629.063 0.648698
125 635.975 0.669638
126 643.591 0.661018
127 650.506 0.701144
128 658.196 0.742501
129 665.214 0.765353
130 672.87 0.78183
131 679.979 0.920897
132 687.396 0.96609
133 694.532 1.08486
134 702.139 1.11843
135 709.343 1.08999
136 717.21 1.10894
137 724.482 1.07058
138 732.475 1.08623
139 740.025 0.99092
140 748.188 0.96623
141 755.608 0.935718
142 763.699 1.01345
143 770.871 1.052
144 778.897 0.982053
145 786.694 0.976394
146 794.903 0.931749
147 802.444 0.970783
148 810.819 1.11877
149 818.317 1.0671
150 826.518 1.07649
151 834.28 1.03242
152 842.529 1.04594
153 850.267 1.0766
154 858.49 1.09547
155 865.613 1.10449
156 874.353 1.31063
157 882.526 1.12972
158 890.933 1.15865
159 898.595 1.16442
160 907.18 1.19819
161 915.029 1.18667
162 923.342 1.23464
163 931.439 1.22012
164 940.081 1.351
165 947.923 1.23431
166 956.784 1.25949
167 964.958 1.32037
168 973.628 1.31595
169 981.441 1.33282
170 989.524 1.32658
171 997.159 1.3718
172 1006.16 1.32053
173 1014.34 1.35483
174 1022.87 1.39921
175 1031.36 1.40702
176 1040.1 1.45464
177 1048.87 1.4841
178 1057.96 1.4772
179 1066.14 1.5413
180 1074.9 1.49453
181 1083.47 1.54434
182 1092.48 1.53594
183 1100.38 1.59493
184 1109.6 1.58837
185 1117.72 1.60255
186 1127.42 1.65266
187 1135.96 1.6937
188 1144.87 1.68629
189 1153.58 1.74123
190 1162.73 1.72038
191 1171.33 1.75353
192 1181.09 1.76694
193 1189.6 1.76495
194 1198.96 1.83548
195 1207.47 1.79398
196 1217.33 1.84261
197 1225.66 1.90149
198 1235.02 1.95752
199 1243.69 1.98649
200 1253.05 1.92663
201 1261.81 1.94068
202 1270.89 2.04901
203 1279.65 2.06544
204 1289.74 2.03367
205 1298.78 2.06286
206 1308.04 2.30107
207 1316.66 2.21085
208 1326.89 2.17426
209 1335.47 2.2544
210 1345.49 2.21756
211 1354.59 2.19743
212 1364.36 2.31171
213 1374.09 2.27287
214 1382.92 2.31845
215 1392.81 2.3752
216 1402.42 2.37183
217 1411.86 2.41577
218 1421.31 2.43848
219 1430.34 2.52958
220 1440.02 2.52281
221 1449.2 2.50983
222 1458.96 2.50303
223 1468.4 2.57143
