0 -1.66987 112190000000 steps
200.924 0.64374 
n radius_n error   
0 0 0
1 1 4.15574e-09
2 2.66702 0.000339268
3 4.5573 0.000742725
4 7.04134 0.00118055
5 9.56267 0.0019304
6 12.5748 0.00269061
7 15.5578 0.00357515
8 19.011 0.00464087
9 22.4105 0.00618954
10 26.2427 0.00805549
11 30.0142 0.00922275
12 34.1862 0.0127137
13 38.2976 0.0134284
14 42.7887 0.0181636
15 47.2293 0.0177177
16 51.9995 0.0200601
17 56.7132 0.0234652
18 61.7584 0.0237331
19 66.7689 0.0259869
20 72.0952 0.0383162
21 77.3614 0.0427501
22 82.9272 0.0422372
23 88.4214 0.0426358
24 94.2105 0.0466782
25 99.9368 0.0553101
26 105.973 0.0550061
27 111.97 0.0618005
28 118.232 0.0659573
29 124.426 0.0602531
30 130.86 0.0621233
31 137.262 0.0751783
32 143.889 0.0861738
33 150.513 0.100929
34 157.366 0.0992703
35 164.149 0.0850571
36 171.218 0.0893752
37 178.204 0.0932275
38 185.427 0.0993351
39 192.609 0.108624
40 200.013 0.125661
41 207.367 0.125222
42 214.959 0.126471
43 222.532 0.134288
44 230.363 0.137044
45 238.088 0.142305
46 246.043 0.152196
47 254.005 0.154664
48 262.141 0.163674
49 270.23 0.178256
50 278.565 0.196004
51 286.832 0.193279
52 295.258 0.190766
53 303.582 0.192577
54 312.136 0.199161
55 320.755 0.205844
56 329.545 0.213854
57 338.346 0.223807
58 347.278 0.234759
59 356.122 0.242269
60 365.09 0.249949
61 374.06 0.272464
62 383.199 0.28181
63 392.382 0.282313
64 401.726 0.28908
65 410.926 0.294598
66 420.405 0.307941
67 429.761 0.317848
68 439.329 0.328339
69 448.971 0.333512
70 458.663 0.346517
71 468.325 0.344129
72 478.071 0.375996
73 487.828 0.366261
74 497.836 0.393989
75 507.942 0.399881
76 518.096 0.404519
77 528.248 0.406476
78 538.562 0.430449
79 548.674 0.439526
80 559.096 0.456908
81 569.568 0.466675
82 579.99 0.481868
83 590.404 0.506229
84 601.266 0.52389
85 611.868 0.560859
86 622.501 0.575009
87 633.087 0.563496
88 643.915 0.575096
89 654.867 0.636609
90 665.886 0.677507
91 676.829 0.65851
92 687.815 0.663038
93 698.891 0.723441
94 710.028 0.723893
95 721.431 0.713416
96 733.032 0.692562
97 744.357 0.74398
98 755.764 0.673429
99 767.4 0.717114
100 778.959 0.714208
101 790.47 0.786217
102 802.209 0.782844
103 813.494 0.844673
104 825.574 0.798639
105 837.543 0.823883
106 849.542 0.824377
107 861.421 0.925267
108 873.787 0.968509
109 885.847 0.931361
110 898.179 0.98584
111 910.221 0.951489
112 922.714 1.03814
113 935.153 1.04436
114 947.562 1.04057
115 959.871 1.09494
116 972.592 1.15005
117 985.052 1.08491
118 997.409 1.07572
119 1010.05 1.05716
120 1022.86 1.09605
121 1035.55 1.13272
122 1048.42 1.12826
123 1061.17 1.17068
124 1074.17 1.22924
125 1086.99 1.28526
126 1099.63 1.23343
127 1112.48 1.26133
128 1125.49 1.39669
129 1138.44 1.4408
130 1151.6 1.34852
131 1164.75 1.38968
132 1177.78 1.35479
133 1191.03 1.47752
134 1204.57 1.41113
135 1218.09 1.50541
136 1231.47 1.45964
137 1244.78 1.56408
138 1258.49 1.58069
139 1271.8 1.66677
140 1285.43 1.63203
141 1298.73 1.68718
142 1312.08 1.78029
143 1325.86 1.73043
144 1339.54 1.77995
145 1353.33 1.89905
146 1367.14 1.94959
147 1381.61 1.93093
148 1395.81 1.99941
149 1410.01 2.12845
150 1424.42 2.04659
151 1438.74 2.08445
152 1453.16 2.15843
153 1467.38 2.19027
154 1481.41 2.21428
155 1496.1 2.33115
156 1510.31 2.31617
157 1524.59 2.29495
158 1539.42 2.22534
159 1553.87 2.26051
160 1568.51 2.5849
161 1583.2 2.5881
162 1598.01 2.49803
163 1613.24 2.53873
164 1628.3 2.45018
165 1642.93 2.56289
166 1657.88 2.32571
167 1672.65 2.33079
168 1687.55 2.34231
169 1702.08 2.33621
170 1717.02 2.34835
171 1732.54 2.42302
172 1747.77 2.46586
173 1762.85 2.51203
174 1779.06 2.46444
175 1794.2 2.63117
176 1809.81 2.78264
177 1825.12 2.78901
178 1840.16 2.7001
179 1854.7 2.86573
180 1870.18 2.88133
181 1885.36 2.98627
182 1901.04 3.26511
183 1916.68 3.5014
184 1932.88 3.80854
185 1949.45 3.92586
186 1965.03 3.88955
187 1980.82 3.86868
188 1997.22 3.50566
189 2013.09 3.27448
190 2029.78 3.27099
191 2045.78 3.07892
192 2062.12 3.23276
193 2078.54 3.34942
194 2093.99 3.27281
195 2110.67 3.68438
196 2125.5 3.81086
197 2141.19 3.67159
198 2157.26 3.44227
199 2174.03 3.54409
200 2190.2 3.76693
201 2207.2 3.68039
202 2224.11 3.52175
203 2240.99 3.59323
204 2257.17 3.79175
205 2274.27 3.95916
206 2291.44 3.73984
207 2309.42 3.7384
208 2326.05 3.87405
209 2341.93 4.06726
210 2359.46 4.09528
211 2375.7 4.14024
212 2391.34 4.17974
213 2409.91 4.17248
214 2426.84 4.21854
215 2443.6 4.47456
216 2461.09 4.67583
217 2478.29 4.29831
218 2495.67 4.23343
219 2511.83 4.19917
220 2528.48 4.22467
