0.7 -1.71747 124630000000 steps
172.99 0.509112 
n radius_n error   
0 0 0
1 1 5.63211e-09
2 2.66675 0.000257478
3 4.36644 0.000669594
4 6.73935 0.00114656
5 8.87767 0.00182649
6 11.666 0.00224428
7 14.0574 0.00416996
8 17.1866 0.00556574
9 19.8733 0.00560199
10 23.2574 0.00617587
11 26.216 0.00744278
12 29.8358 0.00876036
13 33.0483 0.0103712
14 36.8871 0.0129624
15 40.3209 0.0136309
16 44.3754 0.0153759
17 48.0212 0.017432
18 52.2714 0.0186821
19 56.1226 0.0229794
20 60.5792 0.0236233
21 64.6259 0.0279134
22 69.2381 0.0277692
23 73.4659 0.03365
24 78.2631 0.0335203
25 82.6511 0.034645
26 87.6309 0.0377518
27 92.2459 0.0405657
28 97.3729 0.0426708
29 102.166 0.0475391
30 107.454 0.0490346
31 112.395 0.0521211
32 117.83 0.0553842
33 122.932 0.056969
34 128.487 0.0600282
35 133.757 0.065795
36 139.486 0.0688576
37 144.873 0.0730347
38 150.747 0.078599
39 156.27 0.0856466
40 162.288 0.0895944
41 167.995 0.0953488
42 174.129 0.0964135
43 179.944 0.0987797
44 186.235 0.108295
45 192.216 0.116668
46 198.592 0.115449
47 204.682 0.120456
48 211.202 0.123563
49 217.387 0.127881
50 224.005 0.131373
51 230.365 0.136658
52 237.169 0.138173
53 243.638 0.140802
54 250.539 0.148687
55 257.149 0.155627
56 264.136 0.159039
57 270.815 0.167236
58 277.981 0.168771
59 284.875 0.181725
60 292.053 0.182077
61 299.053 0.188705
62 306.408 0.206436
63 313.55 0.201166
64 320.956 0.210408
65 328.166 0.229962
66 335.758 0.246097
67 342.947 0.254944
68 350.672 0.229639
69 358.041 0.243096
70 365.771 0.264214
71 373.246 0.31786
72 381.155 0.364727
73 388.766 0.349454
74 396.824 0.371911
75 404.659 0.364128
76 412.773 0.342042
77 420.518 0.36645
78 428.69 0.348573
79 436.669 0.360857
80 444.921 0.371005
81 452.872 0.389707
82 461.255 0.419697
83 469.4 0.421827
84 477.784 0.386355
85 485.996 0.413389
86 494.525 0.388705
87 502.887 0.412157
88 511.573 0.42162
89 520.101 0.483121
90 528.766 0.475759
91 537.265 0.513174
92 546.042 0.473266
93 554.735 0.471004
94 563.816 0.530908
95 572.484 0.54997
96 581.553 0.543832
97 590.238 0.538231
98 599.285 0.536551
99 608.113 0.591163
100 617.136 0.609301
101 626.088 0.579441
102 635.405 0.59511
103 644.421 0.590746
104 653.817 0.627166
105 663.055 0.60611
106 672.62 0.618696
107 682.018 0.674826
108 691.31 0.660261
109 700.645 0.721127
110 710.364 0.662606
111 719.915 0.727079
112 729.573 0.77434
113 738.982 0.782655
114 748.759 0.801646
115 758.321 0.776461
116 768.29 0.822016
117 777.746 0.906005
118 787.715 0.959894
119 797.665 0.872001
120 807.808 0.951341
121 817.632 0.979869
122 827.823 0.968468
123 837.794 1.01343
124 848.045 0.973648
125 858.061 0.943914
126 868.237 0.989901
127 878.053 0.963884
128 888.404 0.989196
129 898.533 0.967918
130 909.271 1.12003
131 919.685 1.22844
132 929.925 1.12985
133 940.156 1.22764
134 950.711 1.27083
135 961.173 1.17624
136 971.753 1.15328
137 982.279 1.24023
138 993.033 1.33427
139 1003.5 1.24968
140 1014.24 1.22416
141 1025.12 1.16453
142 1036.05 1.16072
143 1046.63 1.27018
144 1057.81 1.31206
145 1068.34 1.32303
146 1079.15 1.31761
147 1089.71 1.36974
148 1101.1 1.44222
149 1111.98 1.46914
150 1123.27 1.4679
151 1134.37 1.51148
152 1145.74 1.57391
153 1156.72 1.7891
154 1168.02 1.82416
155 1179.37 1.80794
156 1191.02 1.73799
157 1202.09 1.66905
158 1213.66 1.67219
159 1225.09 1.87278
160 1236.14 1.82379
161 1247.97 1.8536
162 1258.88 2.02933
163 1270.51 1.89285
164 1282.36 1.9257
165 1293.87 2.07031
166 1305.74 1.97279
167 1317.23 1.94545
168 1329.23 1.93041
169 1340.58 1.96466
170 1352.7 1.87678
171 1364.37 1.92096
172 1376.39 1.87069
173 1388.26 1.79273
174 1400.37 1.80962
175 1412.22 2.05503
176 1423.59 1.91458
177 1435.89 1.97109
178 1447.78 1.93742
179 1459.35 1.977
180 1471.07 2.04324
181 1483.34 1.95826
182 1495.5 2.20067
183 1507.52 2.3465
184 1519.62 2.30344
185 1531.4 2.30684
186 1543.65 2.34175
187 1555.84 2.14785
188 1568.17 2.28086
189 1580.68 2.22051
190 1592.63 2.23309
191 1605.49 2.29089
192 1618.82 2.39638
193 1630.94 2.55444
194 1643.73 2.68572
195 1656.6 2.97271
196 1669.41 2.7193
197 1681.95 2.70686
198 1694.44 2.678
199 1706.99 2.68751
200 1719.26 2.96326
201 1731.6 2.94955
202 1744.49 3.13168
203 1757.63 3.30621
204 1771.18 3.38918
205 1783.32 3.65809
206 1795.94 4.08021
207 1809.06 3.63683
208 1821.97 3.83872
209 1835.11 3.41178
210 1847.36 3.49987
211 1860.2 3.18284
212 1874.11 3.3916
213 1887.73 3.30987
214 1901.07 3.67609
215 1914.85 4.4241
216 1927.88 4.41871
217 1941.45 4.43189
218 1955.26 4.37281
219 1969.17 4.32372
220 1981.73 4.22719
221 1994.4 4.33246
