1.27 -1.83506 605280000000 steps
150.293 0.531463 
n radius_n error   
0 0 0
1 1 4.49287e-09
2 2.66665 6.95312e-05
3 4.11285 0.000218782
4 6.35293 0.000328482
5 7.9158 0.000670193
6 10.4384 0.000703325
7 11.8575 0.00115011
8 14.5578 0.00138042
9 16.0079 0.00182812
10 18.7335 0.00213218
11 20.2643 0.00254118
12 23.04 0.00289403
13 24.5808 0.00337181
14 27.4484 0.00399261
15 28.9812 0.00449557
16 31.9203 0.00488493
17 33.4636 0.0075776
18 36.4571 0.00671831
19 38.0145 0.00784888
20 41.0596 0.00779997
21 42.6177 0.00931544
22 45.7237 0.00945832
23 47.2661 0.0124349
24 50.4213 0.0117722
25 51.9839 0.0152423
26 55.1816 0.0137467
27 56.7429 0.0156917
28 59.9893 0.0159886
29 61.5392 0.019672
30 64.7952 0.0185661
31 66.3785 0.0192408
32 69.6735 0.0192582
33 71.2404 0.0226956
34 74.5789 0.0226278
35 76.1474 0.0241998
36 79.4865 0.0249167
37 81.0951 0.0260112
38 84.4624 0.0274545
39 86.0679 0.0285964
40 89.4411 0.0299757
41 91.0691 0.0321327
42 94.4714 0.0328998
43 96.0858 0.0349452
44 99.5362 0.0350285
45 101.115 0.0378023
46 104.606 0.0393659
47 106.196 0.0437194
48 109.684 0.0422205
49 111.279 0.043308
50 114.768 0.0491514
51 116.398 0.0478861
52 119.913 0.0575115
53 121.534 0.0530112
54 125.055 0.0556701
55 126.682 0.0601743
56 130.301 0.0613695
57 131.861 0.0646634
58 135.48 0.0656104
59 137.062 0.068377
60 140.712 0.0701483
61 142.383 0.0730915
62 145.967 0.0817732
63 147.658 0.0775404
64 151.228 0.0850677
65 152.894 0.0901283
66 156.546 0.0824186
67 158.147 0.0901228
68 161.762 0.0852809
69 163.496 0.0984695
70 167.084 0.090864
71 168.82 0.096076
72 172.417 0.118981
73 174.049 0.112029
74 177.687 0.103299
75 179.353 0.114666
76 183.047 0.115255
77 184.67 0.144509
78 188.436 0.115072
79 190.171 0.133975
80 193.862 0.122343
81 195.562 0.157398
82 199.341 0.127621
83 200.982 0.154162
84 204.678 0.143219
85 206.369 0.138563
86 210.105 0.142617
87 211.801 0.148733
88 215.564 0.16038
89 217.352 0.159766
90 221.032 0.170027
91 222.788 0.173434
92 226.624 0.170665
93 228.314 0.195231
94 231.981 0.206381
95 233.828 0.194072
96 237.466 0.197425
97 239.323 0.199449
98 243.089 0.201679
99 244.898 0.217788
100 248.548 0.200919
101 250.476 0.215964
102 254.149 0.22072
103 255.838 0.217568
104 259.706 0.224142
105 261.327 0.237758
106 265.159 0.224634
107 266.989 0.23581
108 270.867 0.23696
109 272.514 0.261429
110 276.396 0.270813
111 278.292 0.257808
112 282.188 0.261477
113 283.696 0.259547
114 287.693 0.26219
115 289.284 0.305127
116 293.412 0.281063
117 294.775 0.307977
118 298.926 0.308697
119 300.619 0.295746
120 304.593 0.297986
121 306.261 0.302363
122 310.124 0.319607
123 311.807 0.361873
124 315.717 0.326848
125 317.279 0.380195
126 321.248 0.335369
127 322.852 0.362969
128 326.617 0.506038
129 328.55 0.391981
130 332.543 0.362666
131 334.423 0.391225
132 338.589 0.372885
133 340.201 0.417677
134 344.282 0.400859
135 346.19 0.405148
136 350.069 0.406665
137 352.125 0.416514
138 355.603 0.432086
139 357.206 0.529612
140 361.2 0.561866
141 362.988 0.632528
142 366.602 0.574523
143 367.885 0.695165
144 372.586 0.677656
145 373.711 0.605531
146 378.138 0.508273
147 380.173 0.505214
148 384.14 0.521592
149 385.762 0.525031
150 389.526 0.604096
151 391.547 0.627837
152 395.483 0.605986
153 397.75 0.564152
154 401.976 0.629702
155 403.481 0.601711
156 407.754 0.646012
157 409.421 0.598921
158 413.07 0.603588
159 415.031 0.64514
160 418.922 0.623079
161 420.973 0.74647
162 424.895 0.63545
163 427.049 0.669154
164 431.024 0.638578
165 432.841 0.686449
166 436.791 0.702371
167 438.047 0.726764
168 442.57 0.699954
169 444.242 0.767463
170 448.004 0.787332
171 449.563 0.912472
172 454.283 0.749871
173 455.993 0.75802
174 460.168 0.796407
175 462.179 0.769992
176 467.298 0.763547
177 469.084 0.785082
178 473.351 0.822873
179 475.06 0.778991
180 478.48 0.823863
181 481.154 0.787343
182 484.88 0.814769
183 487.29 0.843208
184 491.596 0.815801
185 493 0.82659
186 496.286 0.84532
187 498.555 0.985436
188 502.29 0.892718
189 504.245 0.911817
190 507.39 0.925439
191 509.848 0.95046
192 512.85 0.98945
193 515.443 0.933728
194 519.101 0.966328
195 520.649 0.959791
196 524.552 1.00655
197 526.562 0.953614
198 530.631 1.02411
199 532.787 1.12656
200 536.767 1.04274
201 538.797 1.14197
202 542.911 1.10775
203 545.588 1.07658
204 548.63 1.2658
205 550.971 1.26445
206 555.146 1.28009
207 556.994 1.35376
208 560.854 1.39625
209 562.848 1.62386
210 566.045 1.43017
211 568.621 1.30953
212 572.845 1.72056
213 574.482 1.66682
214 578.716 1.86022
215 581.458 1.84844
216 585.367 1.72102
217 587.293 1.54829
218 591.281 2.02077
219 593.431 1.60931
220 598.537 1.65811
221 599.808 1.72081
222 606.508 3.30002
223 604.591 1.54631
224 608.229 1.73767
225 610.979 1.69112
