epsilon fugacity mean_n err_n mean_e err_e mean_m err_m m2_n m2_e m2_m less5.6K 
0.4 -1.82308 8.95687 0.00673142 16.1358 0.0120994 0.48329 0.000639154 69.3205 223.78 0.904846 1 
0.4 -1.81808 9.28348 0.00723665 16.6758 0.0129829 0.505782 0.000731432 74.1317 237.974 0.957734 1 
0.4 -1.81308 9.6987 0.00869655 17.3712 0.0155484 0.53341 0.00072027 80.6686 257.492 1.02592 1 
0.4 -1.80808 10.1053 0.0120793 18.0473 0.0216648 0.55959 0.000796631 86.8943 275.822 1.08653 1 
0.4 -1.80308 10.5719 0.00920473 18.8257 0.016363 0.590803 0.000926886 95.0124 299.899 1.16394 1 
0.4 -1.79808 11.0424 0.0113806 19.6062 0.0200306 0.622491 0.00123029 102.802 322.604 1.24931 1 
0.4 -1.79308 11.6008 0.0112437 20.5369 0.0198693 0.660693 0.00105268 112.72 351.724 1.34693 1 
0.4 -1.78808 12.1836 0.0125722 21.5053 0.022145 0.699829 0.00114124 123.63 383.555 1.45243 1 
0.4 -1.78308 12.8426 0.0142724 22.6016 0.0249951 0.74482 0.00144084 137.112 422.946 1.57347 1 
0.4 -1.77808 13.5655 0.0159523 23.8028 0.0279404 0.794609 0.00128859 151.861 465.686 1.71954 1 
0.4 -1.77308 14.3427 0.016763 25.0917 0.0292813 0.847866 0.00143885 169.273 516.131 1.86844 1 
0.4 -1.76808 15.2661 0.0191516 26.6272 0.0333511 0.911325 0.00187439 190.888 578.67 2.06659 1 
0.4 -1.76308 16.2886 0.022387 28.3262 0.0388322 0.97998 0.00213049 215.797 650.421 2.2749 1 
0.4 -1.75808 17.4135 0.0319776 30.1916 0.0554546 1.05682 0.00217728 245.241 734.876 2.52495 1 
0.4 -1.75308 18.7524 0.0285411 32.4161 0.04927 1.14617 0.00244971 283.451 844.533 2.79942 1 
0.4 -1.74808 20.2496 0.0407473 34.8992 0.0704209 1.247 0.00273309 328.258 972.414 3.1465 1 
0.4 -1.74308 22.0298 0.0383145 37.8527 0.0656925 1.36777 0.00328896 386.388 1138 3.58638 1 
0.4 -1.73808 24.227 0.0506436 41.5 0.0865848 1.52142 0.00426638 469.131 1373.35 4.19883 1 
0.4 -1.73308 26.6442 0.055488 45.5005 0.0945596 1.6902 0.00479398 556.672 1619.67 4.89711 1 
0.4 -1.72808 29.861 0.0682839 50.8408 0.116171 1.90387 0.00576887 701.549 2029.83 5.77231 1 
0.4 -1.72308 33.9342 0.100469 57.5985 0.169977 2.18255 0.00883244 896.881 2579.41 7.14829 1 
0.4 -1.71808 38.7825 0.113289 65.6287 0.191797 2.5069 0.00871913 1164.14 3329.39 8.70969 1 
0.4 -1.71308 45.7076 0.152458 77.1084 0.256524 2.98124 0.0130215 1585.17 4506.47 11.3195 1 
0.4 -1.70808 55.4485 0.229909 93.2481 0.386557 3.65645 0.0180802 2352.61 6647.35 15.948 1 
0.4 -1.70308 70.821 0.409365 118.74 0.686474 4.686 0.0291599 3865.01 10857.4 24.1871 1 
0.4 -1.69808 95.9732 0.83675 160.421 1.39694 6.37396 0.0620726 6899.11 19262.1 40.6446 1 
0.4 -1.69308 151.185 1.80832 251.925 3.01278 10.1085 0.128549 17727 49215.3 94.5981 1 
0.4 -1.68808 332.329 10.7984 552.034 17.9372 22.4104 0.732468 82549.1 227735 408.763 1 
