0 -0.994 166780000000 steps
55.2262 0.0274637 
n radius_n error   
0 0 0
1 1 4.15574e-09
2 2.66663 7.93258e-05
3 4.55538 0.000186615
4 7.03967 0.000368623
5 9.56332 0.000649538
6 12.5747 0.000982456
7 15.557 0.00126795
8 19.0143 0.00129099
9 22.4129 0.00165468
10 26.2446 0.00234522
11 30.0214 0.00234578
12 34.189 0.00313889
13 38.3066 0.0038876
14 42.7902 0.00416393
15 47.2198 0.00613997
16 51.9917 0.00580049
17 56.7133 0.00678819
18 61.7642 0.00859456
19 66.7631 0.00965753
20 72.0744 0.00929488
21 77.3367 0.00963987
22 82.8983 0.0104089
23 88.4097 0.0116922
24 94.2019 0.0123193
25 99.946 0.0131527
26 105.966 0.0140903
27 111.939 0.0159531
28 118.189 0.0190763
29 124.379 0.0218671
30 130.847 0.0229864
31 137.258 0.0244007
32 143.922 0.0247674
33 150.532 0.0261682
34 157.388 0.030408
35 164.209 0.0277572
36 171.271 0.0292701
37 178.261 0.0316938
38 185.493 0.0337717
39 192.68 0.0346711
40 200.102 0.0367401
41 207.472 0.0386069
42 215.076 0.0411902
43 222.623 0.0433425
44 230.404 0.0455745
45 238.133 0.0482605
46 246.083 0.0493433
47 253.965 0.0536886
48 262.045 0.0553691
49 270.09 0.0661695
50 278.352 0.0697324
51 286.606 0.0723156
52 295.07 0.0843618
53 303.493 0.0924225
54 312.047 0.0857021
55 320.612 0.0962862
56 329.353 0.0899002
57 338.084 0.0884466
58 347.021 0.0877685
59 355.859 0.0984265
60 364.887 0.104233
61 373.911 0.121665
62 383.139 0.15902
63 392.296 0.14374
64 401.671 0.145393
65 411.001 0.131883
66 420.455 0.149288
67 429.928 0.150365
68 439.579 0.164172
69 449.155 0.154803
70 458.923 0.179587
71 468.699 0.171277
72 478.538 0.148351
73 488.342 0.156479
74 498.42 0.161407
75 508.464 0.165162
76 518.539 0.172374
77 528.565 0.181048
78 538.827 0.180989
79 549.072 0.185988
80 559.477 0.191436
81 569.773 0.21035
82 580.347 0.239164
83 590.748 0.222202
84 601.431 0.284222
85 611.935 0.23594
86 622.749 0.233934
87 633.383 0.250003
88 644.303 0.257028
89 655.36 0.298481
90 666.375 0.270222
91 677.492 0.282252
92 688.519 0.285193
93 699.652 0.300845
94 711.029 0.317118
95 722.184 0.340051
96 733.577 0.364718
97 745.055 0.405681
98 756.501 0.421187
99 768.04 0.381366
100 779.736 0.41637
101 791.305 0.461284
102 803.135 0.47238
103 814.997 0.453572
104 826.803 0.474617
105 838.564 0.457048
106 850.75 0.435782
107 862.677 0.45338
108 874.789 0.464724
109 886.939 0.46708
110 899.169 0.485869
111 911.223 0.497854
112 923.441 0.4996
113 935.779 0.530752
114 948.297 0.531916
115 960.78 0.536554
116 973.253 0.589143
117 985.609 0.585717
118 998.209 0.574166
119 1011.02 0.596456
120 1023.63 0.61307
121 1036.3 0.630809
122 1049.21 0.658283
123 1062.15 0.712432
124 1075.14 0.666711
125 1087.94 0.779337
126 1101.07 0.759014
127 1113.88 0.774034
128 1127.2 0.833467
129 1140 0.792789
130 1153.13 0.90943
131 1166.68 0.909871
132 1179.79 0.930294
133 1193.03 0.88286
134 1206.58 0.83567
135 1219.95 0.920496
136 1233.63 0.905853
137 1247.5 0.928104
138 1260.76 0.989315
139 1274.3 0.951386
140 1288.46 0.971221
141 1302.04 1.00471
142 1316.22 1.02365
143 1329.61 1.13041
144 1343.78 1.13269
145 1357.72 1.1451
146 1371.47 1.12706
147 1385.69 1.17754
148 1399.93 1.37185
149 1413.78 1.35032
150 1427.55 1.43305
151 1442.24 1.2967
152 1456.22 1.40414
153 1470.15 1.49357
154 1484.78 1.56989
155 1498.97 1.44278
156 1513.73 1.40527
157 1528.13 1.4877
158 1542.65 1.57134
159 1557.26 1.7478
160 1571.42 1.74864
161 1586.06 1.72236
162 1601.18 1.73359
163 1616.45 1.84568
164 1630.85 1.87779
165 1645.28 1.77622
166 1660.14 1.88638
167 1675.78 1.92447
168 1690.47 1.96166
169 1705.93 1.85995
170 1720.43 1.97979
171 1735.79 1.99924
172 1751.86 2.26028
173 1766.22 2.11158
174 1781.77 2.31597
175 1798.49 2.21426
176 1813.59 2.39561
177 1828.58 2.27392
178 1844.41 2.41869
179 1861.5 2.40268
180 1876.08 2.43398
181 1891.39 2.47713
182 1907.26 2.72627
183 1924.34 2.59912
184 1939.42 2.74705
185 1954.09 2.81144
186 1969.74 3.08596
187 1985.2 2.99432
188 2001.08 3.47678
189 2017.67 3.44014
190 2034.17 3.25543
191 2049.34 2.96769
192 2065.49 2.98397
193 2082.15 3.2048
194 2099.14 3.23383
195 2114.41 3.30506
196 2130.74 3.2615
197 2148.55 3.48663
198 2163.75 3.97524
199 2179.77 3.69674
200 2195.55 3.65792
201 2212.01 3.75163
202 2229.4 3.69409
203 2247.7 3.85024
204 2263.53 3.99767
205 2280.46 4.38133
206 2297.11 4.14714
207 2313.8 4.11562
208 2329.47 4.74743
209 2348.09 4.85286
210 2365.81 5.5699
211 2383.95 4.95081
212 2399.97 5.1319
213 2416.92 5.04958
214 2434.74 4.85328
215 2451.79 5.25406
216 2468.7 5.62189
217 2487.21 5.89567
218 2505.54 5.4051
