0.5 -1.101 77190000000 steps
205.296 0.701485 
n radius_n error   
0 0 0
1 1 4.83458e-09
2 2.66668 0.000227443
3 4.10775 0.000660324
4 6.3459 0.00108199
5 8.01288 0.00187473
6 10.5883 0.00264235
7 12.3017 0.00497271
8 15.0907 0.00736232
9 16.9677 0.00780272
10 19.8679 0.00865734
11 21.9123 0.00830854
12 24.9332 0.0097882
13 27.0713 0.0111745
14 30.2277 0.0119839
15 32.4718 0.0135221
16 35.7415 0.0153066
17 38.1054 0.0186594
18 41.4724 0.0191458
19 43.9241 0.0217011
20 47.4068 0.0223153
21 49.9466 0.0260576
22 53.5291 0.0254898
23 56.1414 0.0313322
24 59.794 0.0317843
25 62.5184 0.0404819
26 66.2486 0.0391364
27 69.044 0.057465
28 72.8521 0.0612139
29 75.7501 0.0538371
30 79.6557 0.0581335
31 82.5938 0.0589026
32 86.5682 0.0576691
33 89.6232 0.0625985
34 93.662 0.0637388
35 96.7898 0.0624868
36 100.917 0.0646079
37 104.083 0.064565
38 108.258 0.0650044
39 111.49 0.0655
40 115.714 0.0706744
41 119.044 0.0754398
42 123.349 0.0820878
43 126.758 0.0822289
44 131.139 0.0898151
45 134.611 0.0944564
46 139.046 0.0947964
47 142.558 0.103611
48 147.092 0.102001
49 150.732 0.111882
50 155.253 0.111407
51 158.899 0.116655
52 163.495 0.117364
53 167.231 0.123999
54 171.857 0.126779
55 175.679 0.130403
56 180.284 0.132283
57 184.147 0.133653
58 188.877 0.130708
59 192.755 0.142811
60 197.605 0.147592
61 201.567 0.148451
62 206.436 0.157624
63 210.456 0.160237
64 215.361 0.157211
65 219.451 0.166823
66 224.412 0.173295
67 228.561 0.181301
68 233.575 0.180656
69 237.769 0.186104
70 242.921 0.191263
71 247.17 0.196589
72 252.299 0.193594
73 256.655 0.207799
74 261.818 0.217798
75 266.212 0.236161
76 271.431 0.243843
77 275.804 0.247992
78 281.034 0.254315
79 285.57 0.262126
80 290.892 0.253211
81 295.376 0.263387
82 300.743 0.290365
83 305.344 0.287747
84 310.725 0.282629
85 315.43 0.292562
86 320.87 0.300776
87 325.579 0.297653
88 331.272 0.308401
89 335.924 0.30418
90 341.541 0.326796
91 346.355 0.324413
92 352 0.344655
93 356.746 0.351092
94 362.413 0.371554
95 367.292 0.351385
96 372.96 0.357784
97 377.955 0.364399
98 383.644 0.375755
99 388.67 0.375636
100 394.519 0.395495
101 399.586 0.406534
102 405.355 0.408467
103 410.554 0.422788
104 416.419 0.416892
105 421.543 0.457269
106 427.332 0.499334
107 432.402 0.495118
108 438.357 0.477397
109 443.592 0.464982
110 449.592 0.470513
111 454.874 0.483247
112 460.853 0.489939
113 466.195 0.531709
114 472.243 0.582549
115 477.509 0.549047
116 483.591 0.548386
117 489.013 0.5429
118 495.187 0.600555
119 500.737 0.599167
120 507.05 0.586121
121 512.475 0.602967
122 518.545 0.625241
123 523.868 0.672077
124 530.264 0.701621
125 535.844 0.684987
126 542.14 0.634438
127 547.716 0.700955
128 554.126 0.707641
129 560.02 0.717605
130 566.288 0.72284
131 571.935 0.731553
132 578.283 0.749308
133 584.021 0.757262
134 590.353 0.805945
135 596.125 0.796852
136 602.71 0.798855
137 608.583 0.803496
138 615.134 0.820633
139 620.98 0.846959
140 627.534 0.827983
141 633.402 0.81328
142 639.883 0.829647
143 645.788 0.857096
144 652.881 0.85331
145 658.735 0.866131
146 665.224 0.889413
147 670.962 0.904922
148 677.393 0.951847
149 683.475 0.918678
150 690.459 0.943649
151 696.563 0.955382
152 703.529 0.945914
153 709.843 0.987543
154 716.633 0.991823
155 722.565 0.989056
156 729.487 1.00216
157 735.463 1.03618
158 742.757 1.05976
159 748.976 1.08626
160 756.29 1.10001
161 762.674 1.16327
162 769.743 1.1053
163 776.091 1.1502
164 782.957 1.11965
165 789.309 1.15922
166 796.428 1.19104
167 803.052 1.32257
168 810.088 1.31726
169 816.417 1.22318
170 823.624 1.20975
171 829.812 1.22986
172 837.048 1.30708
173 843.165 1.31174
174 850.309 1.33886
175 856.713 1.40115
176 863.959 1.48599
177 870.28 1.52208
178 877.655 1.78784
179 884.089 1.67191
180 891.582 1.44235
181 898.04 1.52162
182 905.329 1.46165
183 911.81 1.48956
184 919.074 1.44222
185 925.849 1.39197
186 933.013 1.48552
187 940.046 1.46176
188 947.514 1.6073
189 954.543 1.57553
190 962.201 1.56983
191 969.217 1.53241
192 976.524 1.63567
193 983.657 1.71168
194 991.369 1.83147
195 998.42 2.02472
196 1006.36 1.66914
197 1013.16 1.65872
198 1021.21 1.66417
199 1028.13 1.665
200 1035.86 1.84584
201 1042.9 1.8363
202 1050.55 1.82546
203 1057.91 1.81336
204 1065.55 1.79249
205 1072.86 1.77924
206 1080.6 1.8307
207 1087.45 1.90966
208 1095.24 2.14522
209 1102.02 2.31533
210 1109.88 2.39318
211 1116.71 1.9288
212 1124.08 1.93182
213 1131.23 2.12744
214 1138.8 2.03581
215 1146.55 2.11229
216 1153.77 2.13712
217 1160.8 2.12907
218 1168.8 2.07021
219 1176.1 2.13052
220 1183.26 2.25198
221 1190.43 2.21064
222 1198.2 2.25261
223 1205.63 2.32529
224 1213.55 2.28168
225 1220.83 2.28327
