0 -0.977 77060000000 steps
193.019 0.539023 
n radius_n error   
0 0 0
1 1 5.22767e-09
2 2.66677 0.000224272
3 4.55486 0.000692139
4 7.03875 0.00105257
5 9.56143 0.00159142
6 12.571 0.00223555
7 15.5528 0.00312692
8 19.0085 0.00415035
9 22.4088 0.00521167
10 26.2444 0.00651782
11 30.0231 0.00792316
12 34.1951 0.0094617
13 38.3203 0.0104185
14 42.7965 0.0123354
15 47.2245 0.0140797
16 51.9879 0.0177168
17 56.7035 0.0223266
18 61.7516 0.0230132
19 66.7676 0.0279885
20 72.0796 0.0266462
21 77.3375 0.0274132
22 82.8906 0.0314731
23 88.4102 0.0343501
24 94.222 0.0367936
25 99.9909 0.0398621
26 106.007 0.0426206
27 111.999 0.0435845
28 118.239 0.047748
29 124.449 0.0509093
30 130.922 0.0546895
31 137.322 0.0600944
32 144.023 0.0624647
33 150.678 0.0644252
34 157.562 0.0797646
35 164.409 0.092054
36 171.468 0.0970915
37 178.455 0.0984652
38 185.7 0.100193
39 192.932 0.101817
40 200.343 0.110934
41 207.712 0.110253
42 215.261 0.122506
43 222.753 0.12977
44 230.521 0.125642
45 238.251 0.134607
46 246.25 0.141802
47 254.15 0.15214
48 262.309 0.158179
49 270.402 0.158992
50 278.698 0.16396
51 286.96 0.16703
52 295.46 0.170374
53 303.883 0.180525
54 312.461 0.17261
55 320.976 0.183739
56 329.676 0.185435
57 338.38 0.191387
58 347.296 0.198948
59 356.152 0.208152
60 365.218 0.217343
61 374.294 0.216866
62 383.513 0.23293
63 392.621 0.245412
64 402.03 0.256319
65 411.239 0.258678
66 420.704 0.272751
67 430.164 0.270714
68 439.817 0.291609
69 449.445 0.295391
70 459.201 0.31369
71 468.95 0.332851
72 478.816 0.339872
73 488.756 0.331327
74 498.799 0.377563
75 508.776 0.383461
76 518.977 0.411935
77 529.084 0.390514
78 539.382 0.389461
79 549.614 0.406831
80 559.978 0.435425
81 570.362 0.449436
82 580.954 0.478281
83 591.571 0.457657
84 602.227 0.449042
85 612.947 0.500932
86 623.773 0.490325
87 634.589 0.525081
88 645.54 0.561134
89 656.366 0.595282
90 667.407 0.631189
91 678.425 0.667433
92 689.542 0.653498
93 700.546 0.638446
94 711.764 0.609289
95 723.331 0.596718
96 734.666 0.584296
97 746.029 0.707482
98 757.694 0.664906
99 769.012 0.674157
100 780.694 0.71611
101 792.12 0.72656
102 803.743 0.738316
103 815.469 0.722018
104 827.253 0.753358
105 839.114 0.888275
106 851.256 0.969186
107 863.139 0.883307
108 875.195 0.826948
109 887.147 0.849008
110 899.251 0.881689
111 911.347 0.905357
112 924.12 0.916184
113 936.186 0.907319
114 948.679 0.887637
115 961.038 0.968904
116 973.526 1.09617
117 985.993 1.11213
118 998.546 1.22886
119 1011.37 1.23943
120 1024.37 1.18545
121 1036.92 1.1618
122 1049.68 1.18326
123 1062.47 1.19507
124 1075.51 1.23381
125 1088.46 1.25559
126 1101.73 1.40474
127 1114.76 1.44633
128 1128.23 1.11864
129 1142.04 1.09635
130 1155.29 1.15395
131 1168.5 1.21387
132 1181.74 1.39251
133 1195.08 1.29676
134 1208.77 1.22062
135 1221.72 1.19654
136 1235.12 1.22151
137 1248.67 1.23652
138 1262.26 1.32211
139 1275.72 1.27919
140 1289.46 1.37667
141 1303.43 1.51537
142 1317.22 1.40183
143 1330.57 1.50745
144 1344.5 1.42575
145 1358.43 1.50821
146 1373.11 1.53255
147 1387.17 1.50785
148 1401.44 1.46662
149 1415.35 1.51677
150 1429.52 1.59281
151 1443.57 1.67333
152 1458.03 1.81605
153 1472.24 1.74481
154 1486.81 1.87703
155 1501.54 1.68734
156 1516.05 1.75546
157 1530.54 1.98088
158 1544.94 1.78389
159 1559.47 1.9318
160 1574.09 1.89802
161 1588.48 1.99013
162 1603.25 2.09098
163 1618.88 2.17126
164 1633.42 2.20151
165 1648.31 1.97719
166 1663.17 1.90038
167 1678.73 2.17801
168 1693.85 2.04226
169 1708.71 2.04672
170 1723.6 2.15756
171 1738.46 2.27658
172 1753.43 2.36055
173 1768.37 2.14409
174 1783.81 2.35125
175 1799.5 2.29991
176 1815.11 2.18788
177 1830.14 2.32944
178 1845.73 2.28359
179 1861.18 2.65314
180 1877.01 2.56145
181 1892.56 2.79872
182 1908.3 2.94939
183 1924.04 2.56568
184 1940.4 2.66154
185 1956.11 2.90498
186 1972.31 2.67142
187 1987.81 2.87799
188 2004.06 2.55601
189 2020.26 2.72644
190 2036.76 3.16803
191 2052.69 3.12208
192 2068.78 3.49445
193 2084.7 3.36073
194 2101.29 3.17584
195 2118.06 3.41005
196 2134.34 3.67795
197 2150.44 3.4102
198 2166.59 3.612
199 2183.56 3.409
200 2199.51 3.49713
201 2215.91 3.37494
202 2231.92 3.33384
203 2248.27 3.21687
204 2265.11 3.41816
205 2281.19 3.49075
206 2298.55 3.37664
207 2315.24 3.61296
208 2331.72 3.66633
209 2349.22 3.8587
210 2366.74 3.82979
211 2383.72 3.82906
212 2400.55 3.66715
213 2417.33 3.76394
214 2434.54 3.75388
215 2451.84 3.97216
216 2469.26 3.85147
217 2485.07 3.79006
218 2501.95 3.56649
219 2519.7 3.73828
220 2537.97 3.945
221 2555.22 4.33545
