0.4 -1.068 87650000000 steps
169.065 0.386775 
n radius_n error   
0 0 0
1 1 4.49287e-09
2 2.66652 0.00019522
3 4.20452 0.000525748
4 6.48994 0.000859989
5 8.34515 0.00133719
6 11.0018 0.00191764
7 12.9962 0.00305473
8 15.9142 0.00375436
9 18.1239 0.00452408
10 21.2065 0.00648193
11 23.6203 0.00985422
12 26.8766 0.0102063
13 29.4669 0.00924196
14 32.889 0.0118884
15 35.6384 0.0107332
16 39.2117 0.0125435
17 42.1064 0.0137646
18 45.8303 0.0152482
19 48.8751 0.0172131
20 52.7303 0.0185124
21 55.9152 0.0213585
22 59.8924 0.0225094
23 63.2077 0.0229802
24 67.327 0.0282715
25 70.7729 0.0329802
26 74.9938 0.0365671
27 78.5697 0.0386157
28 82.9211 0.040894
29 86.6226 0.0444235
30 91.0596 0.0432927
31 94.8535 0.0502802
32 99.412 0.0568026
33 103.343 0.0671907
34 108.011 0.0559896
35 112.066 0.0656256
36 116.834 0.0642252
37 120.978 0.0619384
38 125.861 0.0645544
39 130.131 0.0667258
40 135.115 0.065227
41 139.494 0.0737581
42 144.551 0.0727467
43 149.011 0.0807311
44 154.173 0.0832334
45 158.75 0.0871427
46 163.992 0.091521
47 168.675 0.0943763
48 174.003 0.104656
49 178.768 0.102862
50 184.156 0.112628
51 188.99 0.117281
52 194.519 0.128381
53 199.431 0.142504
54 205.033 0.161351
55 210.047 0.165105
56 215.724 0.132106
57 220.836 0.135219
58 226.553 0.152648
59 231.75 0.143579
60 237.567 0.163
61 242.829 0.172335
62 248.774 0.15679
63 254.025 0.167018
64 260.041 0.174998
65 265.52 0.180512
66 271.623 0.16741
67 277.188 0.172311
68 283.265 0.193714
69 288.924 0.187611
70 295.181 0.199975
71 300.985 0.211087
72 307.269 0.198538
73 313.044 0.218737
74 319.4 0.222835
75 325.276 0.228525
76 331.725 0.273706
77 337.612 0.242334
78 344.05 0.255791
79 349.992 0.281853
80 356.566 0.258261
81 362.689 0.264679
82 369.333 0.300168
83 375.473 0.317932
84 382.185 0.297222
85 388.426 0.32337
86 395.156 0.338882
87 401.618 0.334225
88 408.474 0.32499
89 414.96 0.342918
90 421.881 0.330566
91 428.501 0.336792
92 435.444 0.352889
93 442.073 0.341419
94 449.125 0.380458
95 455.83 0.358792
96 463.02 0.373657
97 469.771 0.392782
98 476.925 0.389648
99 483.776 0.39609
100 490.999 0.44462
101 497.875 0.439585
102 505.265 0.426563
103 512.154 0.491953
104 519.335 0.487994
105 526.305 0.473536
106 533.77 0.463132
107 540.693 0.468607
108 548.133 0.527923
109 555.38 0.551677
110 562.792 0.533867
111 569.832 0.494062
112 577.517 0.525162
113 584.695 0.574608
114 592.385 0.62848
115 599.699 0.632591
116 607.429 0.708146
117 614.782 0.698686
118 622.621 0.664281
119 630.009 0.751417
120 637.932 0.729544
121 645.535 0.756468
122 653.342 0.911944
123 660.953 0.869024
124 668.859 0.915114
125 676.388 0.872287
126 684.318 0.773784
127 691.959 0.784685
128 699.794 0.769423
129 707.409 0.820729
130 715.612 0.786594
131 723.319 0.812335
132 731.56 0.802067
133 739.356 0.821514
134 747.478 0.795554
135 755.081 0.823268
136 763.601 0.779439
137 771.477 0.768613
138 779.837 0.817326
139 787.337 0.836714
140 795.803 0.897281
141 803.848 0.929173
142 812.245 0.825963
143 820.427 0.83889
144 829.042 0.909757
145 837.061 0.930836
146 845.472 0.904509
147 853.548 0.976988
148 862.232 0.963053
149 870.381 0.937778
150 878.867 1.02501
151 886.634 1.03649
152 895.354 1.04206
153 903.973 1.09249
154 912.663 1.15121
155 921.375 1.15818
156 930.256 1.13556
157 938.685 1.16205
158 947.381 1.15102
159 956.064 1.09193
160 965.13 1.16865
161 973.513 1.14951
162 982.752 1.13718
163 991.201 1.1799
164 1000.31 1.19037
165 1009.29 1.33248
166 1018.44 1.19841
167 1027.47 1.19084
168 1036.73 1.22165
169 1045.48 1.21729
170 1054.48 1.22643
171 1063.09 1.24514
172 1071.89 1.34817
173 1081.12 1.31788
174 1090.63 1.37326
175 1099.79 1.39707
176 1108.44 1.54141
177 1117.64 1.4727
178 1126.76 1.44096
179 1136.12 1.39806
180 1146.02 1.49527
181 1155.36 1.46716
182 1164.95 1.78116
183 1174.07 1.68494
184 1183.95 1.61389
185 1192.93 1.59683
186 1202.48 1.70358
187 1211.72 1.73395
188 1221.37 1.6996
189 1229.85 1.74175
190 1239.54 1.74919
191 1249.28 1.86122
192 1258.78 2.00448
193 1268.15 1.94591
194 1278.36 2.16939
195 1287.94 2.08828
196 1297.76 1.94069
197 1307.57 1.94645
198 1317.37 1.94619
199 1326.49 1.91258
200 1336.53 2.08656
201 1346.55 1.99731
202 1357.01 2.12704
203 1366.04 2.06072
204 1376.19 2.0044
205 1385.75 2.01202
206 1396.13 2.0611
207 1406.65 2.06149
208 1416.71 2.36959
209 1426.65 2.36519
210 1436.7 2.40586
211 1446.65 2.49617
212 1457.3 2.3685
213 1467.15 2.2843
214 1477.41 2.34086
215 1487.28 2.41373
216 1498.22 2.70163
217 1508.38 2.59986
218 1519.04 2.64587
219 1528.95 2.91416
220 1539.36 2.87746
221 1548.94 3.31376
222 1559.64 3.16649
223 1569.64 3.11824
