N J h mean_R_sq err_mean_R_sq mean_R_gyr_sq err_mean_R_gyr_sq mean_e err_mean_e mean_e_sq err_mean_e_sq mean_e_fourth err_mean_e_fourth mean_m err_mean_m mean_m_sq err_mean_m_sq mean_m_fourth err_mean_m_fourth steps
10000 0.831 0 77930 5230 16479 4820.97 -1.47294 0.00217192 2.17084 0.00644306 4.72385 0.0283884 0.243944 0.00664705 0.0903402 0.0046439 0.0214155 0.00194928 415000000000
8000 0.831 0 57361 1917 10575.8 1456.19 -1.46544 0.00149377 2.14896 0.0043929 4.63044 0.0190371 0.24655 0.00452384 0.0923023 0.00317181 0.0221812 0.00134256 487000000000
9000 0.831 0 148291 79874 30391 18739.4 -1.46704 0.00325496 2.15427 0.008887 4.65737 0.0340944 0.242235 0.00448327 0.0892202 0.00300664 0.0208218 0.00123654 449000000000
10000 0.833 0 110708 52743 23096.8 13246 -1.49395 0.00233867 2.23373 0.00678384 5.00548 0.0290237 0.305129 0.00721733 0.135624 0.00564635 0.0421653 0.00291156 374000000000
8000 0.833 0 68863 23484 14784.5 7344.11 -1.48966 0.00193376 2.22116 0.00547472 4.95062 0.0227464 0.308254 0.00612346 0.137944 0.00493124 0.0431201 0.00261982 443000000000
9000 0.833 0 50956 2180 11192.7 2655.6 -1.49606 0.00205687 2.2397 0.00616638 5.0299 0.0277671 0.312622 0.00738266 0.141423 0.00600232 0.0448767 0.00320984 406000000000
10000 0.835 0 51642 12205 11909.4 4893.12 -1.53013 0.00285319 2.34286 0.0087137 5.50352 0.0407263 0.417295 0.0145306 0.231876 0.0129034 0.097416 0.00783164 533000000000
8000 0.835 0 34196 1603 7045.91 1137.62 -1.51872 0.00205918 2.30818 0.00623447 5.3431 0.0286413 0.397918 0.0086533 0.21432 0.00752188 0.0868657 0.00448824 451000000000
9000 0.835 0 72704 32499 15780.5 8935.43 -1.51968 0.00290571 2.31144 0.00855457 5.36073 0.0374768 0.394279 0.0104013 0.211258 0.00865677 0.0852435 0.0049251 417000000000
10000 0.836 0 36604 4943 11232 5193.61 -1.54307 0.00229609 2.38249 0.00703883 5.68954 0.0331683 0.466911 0.0125657 0.278458 0.0115186 0.12789 0.00738095 348000000000
8000 0.836 0 32867 2427 7210.56 1707.85 -1.52704 0.00180987 2.33352 0.00547759 5.46085 0.0251562 0.422393 0.00772842 0.236937 0.00668076 0.10137 0.00396979 429000000000
9000 0.836 0 33201 1863 8766.93 2842.59 -1.53695 0.00228695 2.36367 0.00700428 5.6006 0.0329082 0.452755 0.0117581 0.264205 0.010558 0.118193 0.00663318 379000000000
10000 0.838 0 63370 39552 16533.6 11817.2 -1.56807 0.00208175 2.46036 0.00619853 6.06711 0.028131 0.581069 0.00915265 0.391852 0.00946041 0.210109 0.00717347 353000000000
8000 0.838 0 24362 3176 6671.92 2422.81 -1.5543 0.00127916 2.41729 0.0039499 5.85689 0.0188843 0.526879 0.00733455 0.338697 0.00718561 0.172558 0.00524958 420000000000
9000 0.838 0 48938 26791 15296.9 10552.2 -1.56114 0.00329098 2.43924 0.00947306 5.96791 0.0406724 0.558283 0.0111569 0.371855 0.0112141 0.197888 0.0082294 384000000000
