N J h mean_R_sq err_mean_R_sq mean_R_gyr_sq err_mean_R_gyr_sq mean_e err_mean_e mean_e_sq err_mean_e_sq mean_e_fourth err_mean_e_fourth mean_m err_mean_m mean_m_sq err_mean_m_sq mean_m_fourth err_mean_m_fourth steps
2.000000000000000000e+03 8.209999999999999520e-01 0.000000000000000000e+00 1.520829999999999927e+04 7.422539999999999338e+01 2.315739999999999782e+03 7.722830000000000084e+00 6.324699999999999767e-01 3.928529999999999739e-04 4.029229999999999756e-01 4.934419999999999692e-04 1.669360000000000011e-01 3.974320000000000261e-04 2.333860000000000101e-01 1.018320000000000076e-03 8.323890000000000455e-02 6.673440000000000535e-04 1.858419999999999864e-02 2.670920000000000238e-04 1.020000000000000000e+12
2.000000000000000000e+03 8.239999999999999547e-01 0.000000000000000000e+00 1.378470000000000073e+04 6.034089999999999776e+01 2.127920000000000073e+03 7.509229999999999627e+00 6.139240000000000252e-01 3.468190000000000010e-04 3.799739999999999784e-01 4.225060000000000100e-04 1.489499999999999991e-01 3.216839999999999782e-04 2.577889999999999904e-01 1.060109999999999959e-03 1.003190000000000054e-01 7.715779999999999774e-04 2.588019999999999904e-02 3.630910000000000105e-04 9.900000000000000000e+11
2.000000000000000000e+03 8.269999999999999574e-01 0.000000000000000000e+00 1.248070000000000073e+04 5.088159999999999883e+01 1.952480000000000018e+03 6.824889999999999901e+00 5.949609999999999621e-01 3.405220000000000035e-04 3.572080000000000255e-01 4.007719999999999772e-04 1.321150000000000102e-01 2.863739999999999927e-04 2.856650000000000023e-01 1.284210000000000039e-03 1.212669999999999998e-01 9.346429999999999755e-04 3.593289999999999679e-02 4.470780000000000045e-04 9.600000000000000000e+11
2.000000000000000000e+03 8.299999999999999600e-01 0.000000000000000000e+00 1.126620000000000073e+04 5.741779999999999973e+01 1.796869999999999891e+03 8.297100000000000364e+00 5.757839999999999625e-01 4.921870000000000498e-04 3.349860000000000060e-01 5.589889999999999703e-04 1.167600000000000027e-01 3.732930000000000189e-04 3.138839999999999963e-01 2.089140000000000181e-03 1.448500000000000065e-01 1.581429999999999989e-03 4.914469999999999950e-02 8.085460000000000477e-04 7.150000000000000000e+11
2.000000000000000000e+03 8.329999999999999627e-01 0.000000000000000000e+00 9.972850000000000364e+03 6.012960000000000349e+01 1.623279999999999973e+03 1.162190000000000012e+01 5.541359999999999619e-01 4.346290000000000158e-04 3.106419999999999737e-01 4.790659999999999970e-04 1.008740000000000053e-01 3.027060000000000254e-04 3.569849999999999968e-01 1.912630000000000016e-03 1.811780000000000057e-01 1.604079999999999916e-03 7.022159999999999513e-02 9.473800000000000537e-04 6.800000000000000000e+11
2.000000000000000000e+03 8.359999999999999654e-01 0.000000000000000000e+00 8.624090000000000146e+03 5.996079999999999899e+01 1.437690000000000055e+03 8.849289999999999878e+00 5.327009999999999801e-01 5.268389999999999749e-04 2.874309999999999921e-01 5.602330000000000417e-04 8.678080000000000516e-02 3.294519999999999892e-04 4.039579999999999838e-01 2.358110000000000067e-03 2.242419999999999969e-01 2.100139999999999906e-03 9.834279999999999411e-02 1.355040000000000064e-03 6.400000000000000000e+11
2.000000000000000000e+03 8.389999999999999680e-01 0.000000000000000000e+00 7.505770000000000437e+03 5.159620000000000317e+01 1.284960000000000036e+03 7.363139999999999574e+00 5.112710000000000310e-01 4.945369999999999714e-04 2.650029999999999886e-01 5.096529999999999941e-04 7.404099999999999571e-02 2.813720000000000023e-04 4.508679999999999910e-01 2.722410000000000194e-03 2.698900000000000188e-01 2.453149999999999862e-03 1.311029999999999973e-01 1.677099999999999945e-03 6.100000000000000000e+11
2.000000000000000000e+03 8.419999999999999707e-01 0.000000000000000000e+00 6.458500000000000000e+03 5.472970000000000113e+01 1.149950000000000045e+03 1.059040000000000070e+01 4.895269999999999899e-01 5.758440000000000520e-04 2.431339999999999890e-01 5.746040000000000435e-04 6.254750000000000587e-02 2.984509999999999789e-04 5.076789999999999914e-01 3.090499999999999931e-03 3.282149999999999790e-01 3.021910000000000047e-03 1.760859999999999925e-01 2.245689999999999839e-03 5.650000000000000000e+11
2.000000000000000000e+03 8.449999999999999734e-01 0.000000000000000000e+00 5.411039999999999964e+03 4.977400000000000091e+01 1.016590000000000032e+03 1.593989999999999974e+01 4.683350000000000013e-01 7.297700000000000280e-04 2.226279999999999926e-01 6.975860000000000394e-04 5.255540000000000211e-02 3.334389999999999902e-04 5.657219999999999471e-01 3.856800000000000072e-03 3.903760000000000008e-01 3.904630000000000080e-03 2.275419999999999943e-01 3.254669999999999872e-03 5.400000000000000000e+11
2.000000000000000000e+03 8.479999999999999760e-01 0.000000000000000000e+00 4.727569999999999709e+03 5.063329999999999842e+01 9.120249999999999773e+02 7.681580000000000297e+00 4.502399999999999736e-01 6.648609999999999893e-04 2.057120000000000060e-01 6.122970000000000365e-04 4.484810000000000185e-02 2.696940000000000101e-04 6.130790000000000406e-01 4.238220000000000008e-03 4.443139999999999867e-01 4.445580000000000191e-03 2.759309999999999818e-01 3.581309999999999875e-03 5.050000000000000000e+11
2.000000000000000000e+03 8.509999999999999787e-01 0.000000000000000000e+00 4.094130000000000109e+03 5.024860000000000326e+01 8.314180000000000064e+02 9.688700000000000756e+00 4.331860000000000155e-01 7.597570000000000105e-04 1.903900000000000037e-01 6.807119999999999838e-04 3.841239999999999932e-02 2.836129999999999966e-04 6.632799999999999807e-01 4.630409999999999734e-03 5.036420000000000341e-01 5.049210000000000156e-03 3.318639999999999923e-01 4.384240000000000186e-03 4.750000000000000000e+11
2.000000000000000000e+03 8.539999999999999813e-01 0.000000000000000000e+00 3.500429999999999836e+03 3.531060000000000088e+01 7.511200000000000045e+02 6.117779999999999774e+00 4.167080000000000228e-01 4.384890000000000228e-04 1.760299999999999920e-01 3.726870000000000183e-04 3.272739999999999677e-02 1.411050000000000119e-04 7.110370000000000301e-01 3.608950000000000092e-03 5.604789999999999495e-01 4.053440000000000168e-03 3.875330000000000163e-01 3.649309999999999794e-03 4.550000000000000000e+11
2.000000000000000000e+03 8.569999999999999840e-01 0.000000000000000000e+00 3.118230000000000018e+03 3.007600000000000051e+01 6.960499999999999545e+02 5.168639999999999901e+00 4.029619999999999869e-01 4.371320000000000153e-04 1.645099999999999896e-01 3.773250000000000237e-04 2.852249999999999924e-02 1.469219999999999869e-04 7.491240000000000121e-01 3.033500000000000172e-03 6.088090000000000446e-01 3.339630000000000116e-03 4.380979999999999874e-01 2.955940000000000217e-03 4.350000000000000000e+11
3.000000000000000000e+03 8.209999999999999520e-01 0.000000000000000000e+00 2.665650000000000000e+04 1.681169999999999902e+02 4.009440000000000055e+03 2.059369999999999834e+01 6.268759999999999888e-01 5.198890000000000499e-04 3.950339999999999963e-01 6.554010000000000087e-04 1.592510000000000037e-01 5.288310000000000059e-04 1.978419999999999901e-01 1.204919999999999949e-03 6.055340000000000028e-02 7.149289999999999985e-04 1.031170000000000003e-02 2.411819999999999958e-04 9.700000000000000000e+11
3.000000000000000000e+03 8.239999999999999547e-01 0.000000000000000000e+00 2.387590000000000146e+04 1.633969999999999914e+02 3.663889999999999873e+03 2.151269999999999882e+01 6.080060000000000464e-01 4.146159999999999755e-04 3.718960000000000043e-01 5.027869999999999822e-04 1.415520000000000111e-01 3.771019999999999819e-04 2.242639999999999911e-01 1.329569999999999971e-03 7.704120000000000412e-02 8.471029999999999836e-04 1.603469999999999895e-02 3.261569999999999877e-04 9.350000000000000000e+11
3.000000000000000000e+03 8.269999999999999574e-01 0.000000000000000000e+00 2.142209999999999854e+04 1.773360000000000127e+02 3.340320000000000164e+03 5.186749999999999972e+01 5.868219999999999548e-01 5.577709999999999830e-04 3.468029999999999724e-01 6.482280000000000420e-04 1.235939999999999955e-01 4.493559999999999850e-04 2.553050000000000042e-01 1.826139999999999968e-03 9.841830000000000023e-02 1.411010000000000085e-03 2.484710000000000044e-02 6.998549999999999867e-04 8.900000000000000000e+11
3.000000000000000000e+03 8.299999999999999600e-01 0.000000000000000000e+00 1.834279999999999927e+04 1.507319999999999993e+02 2.940820000000000164e+03 4.125829999999999842e+01 5.636170000000000346e-01 6.594520000000000416e-04 3.203019999999999756e-01 7.365800000000000255e-04 1.059149999999999953e-01 4.708770000000000251e-04 2.938330000000000108e-01 2.457650000000000026e-03 1.271079999999999988e-01 1.814349999999999947e-03 3.831160000000000121e-02 8.677420000000000142e-04 6.500000000000000000e+11
3.000000000000000000e+03 8.329999999999999627e-01 0.000000000000000000e+00 1.570720000000000073e+04 1.953429999999999893e+02 2.574530000000000200e+03 4.671029999999999660e+01 5.389549999999999619e-01 8.114209999999999956e-04 2.932739999999999791e-01 8.712569999999999560e-04 8.924909999999999788e-02 5.164980000000000005e-04 3.435280000000000000e-01 3.790829999999999807e-03 1.687269999999999881e-01 3.099259999999999949e-03 6.188939999999999719e-02 1.743460000000000062e-03 5.500000000000000000e+11
3.000000000000000000e+03 8.359999999999999654e-01 0.000000000000000000e+00 1.269579999999999927e+04 1.461430000000000007e+02 2.153230000000000018e+03 2.762829999999999941e+01 5.125570000000000404e-01 7.367050000000000421e-04 2.655620000000000203e-01 7.528020000000000067e-04 7.352930000000000577e-02 4.068979999999999928e-04 4.045369999999999799e-01 4.323030000000000275e-03 2.233600000000000030e-01 3.637560000000000186e-03 9.601419999999999400e-02 2.291960000000000004e-03 5.500000000000000000e+11
3.000000000000000000e+03 8.389999999999999680e-01 0.000000000000000000e+00 1.038989999999999964e+04 1.454269999999999925e+02 1.852140000000000100e+03 2.865190000000000126e+01 4.885329999999999950e-01 8.255439999999999957e-04 2.414999999999999925e-01 8.179150000000000049e-04 6.107920000000000016e-02 4.155790000000000135e-04 4.682450000000000223e-01 4.715760000000000264e-03 2.861259999999999915e-01 4.447869999999999602e-03 1.412319999999999964e-01 3.109880000000000196e-03 5.050000000000000000e+11
3.000000000000000000e+03 8.419999999999999707e-01 0.000000000000000000e+00 8.789510000000000218e+03 1.593009999999999877e+02 1.636220000000000027e+03 3.895349999999999824e+01 4.653309999999999946e-01 9.613459999999999670e-04 2.191730000000000067e-01 9.015590000000000192e-04 5.039140000000000286e-02 4.175010000000000266e-04 5.297089999999999854e-01 7.138499999999999880e-03 3.505750000000000255e-01 7.240260000000000098e-03 1.922750000000000015e-01 5.509000000000000008e-03 4.600000000000000000e+11
3.000000000000000000e+03 8.449999999999999734e-01 0.000000000000000000e+00 6.972819999999999709e+03 1.723590000000000089e+02 1.493009999999999991e+03 1.242039999999999935e+02 4.411180000000000101e-01 1.200579999999999920e-03 1.968830000000000024e-01 1.107990000000000103e-03 4.062489999999999851e-02 4.864010000000000208e-04 6.171159999999999979e-01 8.392669999999999644e-03 4.450000000000000067e-01 8.385349999999999748e-03 2.708110000000000239e-01 6.317200000000000246e-03 4.300000000000000000e+11
3.000000000000000000e+03 8.479999999999999760e-01 0.000000000000000000e+00 5.680880000000000109e+03 8.354980000000000473e+01 1.207690000000000055e+03 2.638200000000000145e+01 4.214289999999999980e-01 7.052509999999999465e-04 1.795589999999999964e-01 6.168890000000000224e-04 3.369260000000000310e-02 2.440800000000000077e-04 6.797919999999999519e-01 5.720280000000000330e-03 5.184819999999999984e-01 6.367460000000000134e-03 3.395230000000000192e-01 5.520670000000000091e-03 3.950000000000000000e+11
3.000000000000000000e+03 8.509999999999999787e-01 0.000000000000000000e+00 4.802479999999999563e+03 6.088550000000000040e+01 1.135369999999999891e+03 7.408889999999999532e+01 4.049519999999999786e-01 6.821140000000000493e-04 1.656590000000000007e-01 5.726849999999999693e-04 2.858990000000000142e-02 2.087029999999999972e-04 7.297540000000000138e-01 5.579259999999999949e-03 5.791960000000000441e-01 6.216629999999999899e-03 3.992269999999999985e-01 5.513170000000000397e-03 3.650000000000000000e+11
3.000000000000000000e+03 8.539999999999999813e-01 0.000000000000000000e+00 4.247529999999999745e+03 5.169879999999999853e+01 1.040509999999999991e+03 4.630850000000000222e+01 3.909889999999999755e-01 5.881839999999999508e-04 1.543589999999999962e-01 4.795989999999999867e-04 2.477539999999999951e-02 1.645980000000000121e-04 7.726939999999999920e-01 5.340590000000000094e-03 6.357080000000000508e-01 5.926419999999999952e-03 4.605670000000000042e-01 5.142619999999999657e-03 3.550000000000000000e+11
3.000000000000000000e+03 8.569999999999999840e-01 0.000000000000000000e+00 3.877610000000000127e+03 6.816859999999999786e+01 9.838940000000000055e+02 4.561849999999999739e+01 3.790209999999999968e-01 5.811009999999999917e-04 1.450309999999999933e-01 4.895649999999999655e-04 2.187530000000000030e-02 1.880899999999999966e-04 7.986959999999999615e-01 4.548599999999999866e-03 6.728269999999999529e-01 5.149400000000000158e-03 5.055349999999999566e-01 4.748869999999999654e-03 3.300000000000000000e+11
5.000000000000000000e+03 8.209999999999999520e-01 0.000000000000000000e+00 5.483009999999999854e+04 6.686989999999999554e+02 8.196739999999999782e+03 9.407909999999999684e+01 6.224199999999999733e-01 4.659280000000000019e-04 3.887240000000000140e-01 5.771440000000000294e-04 1.531299999999999883e-01 4.485359999999999760e-04 1.621960000000000068e-01 1.618780000000000002e-03 4.113769999999999927e-02 7.669579999999999844e-04 4.922829999999999567e-03 1.672239999999999968e-04 9.200000000000000000e+11
5.000000000000000000e+03 8.239999999999999547e-01 0.000000000000000000e+00 4.896509999999999854e+04 6.662980000000000018e+02 7.588770000000000437e+03 2.185579999999999927e+02 6.028970000000000162e-01 7.012579999999999595e-04 3.649330000000000074e-01 8.345349999999999643e-04 1.352530000000000121e-01 6.004429999999999837e-04 1.827000000000000013e-01 2.086520000000000128e-03 5.180250000000000132e-02 1.165699999999999983e-03 7.649490000000000109e-03 3.395599999999999812e-04 8.800000000000000000e+11
5.000000000000000000e+03 8.269999999999999574e-01 0.000000000000000000e+00 4.150500000000000000e+04 6.640000000000000000e+02 7.103840000000000146e+03 7.189080000000000155e+02 -1.420409999999999950e+00 8.647140000000000425e-04 2.019270000000000120e+00 2.457650000000000026e-03 4.091310000000000002e+00 9.951919999999999517e-03 2.122110000000000107e-01 1.533960000000000011e-03 6.938220000000000498e-02 9.580430000000000022e-04 1.329110000000000014e-02 3.368159999999999817e-04 4.250000000000000000e+11
5.000000000000000000e+03 8.299999999999999600e-01 0.000000000000000000e+00 3.486900000000000000e+04 5.740000000000000000e+02 5.822949999999999818e+03 3.734549999999999841e+02 -1.446430000000000105e+00 1.130780000000000066e-03 2.094090000000000007e+00 3.276809999999999792e-03 4.401399999999999757e+00 1.379720000000000078e-02 2.560629999999999851e-01 2.519050000000000109e-03 9.906869999999999565e-02 1.841399999999999981e-03 2.520290000000000030e-02 8.220760000000000350e-04 4.140000000000000000e+11
5.000000000000000000e+03 8.329999999999999627e-01 0.000000000000000000e+00 2.818200000000000000e+04 6.620000000000000000e+02 4.952979999999999563e+03 4.418299999999999841e+02 -1.476939999999999920e+00 1.141880000000000065e-03 2.183460000000000178e+00 3.371620000000000086e-03 4.785989999999999966e+00 1.473430000000000052e-02 3.230660000000000198e-01 3.871209999999999929e-03 1.507310000000000039e-01 3.108919999999999826e-03 5.078599999999999781e-02 1.620459999999999999e-03 3.940000000000000000e+11
5.000000000000000000e+03 8.359999999999999654e-01 0.000000000000000000e+00 2.038000000000000000e+04 4.670000000000000000e+02 4.264590000000000146e+03 7.259479999999999791e+02 -1.509109999999999951e+00 1.038230000000000012e-03 2.279539999999999900e+00 3.126659999999999856e-03 5.215629999999999988e+00 1.422400000000000053e-02 4.114959999999999729e-01 4.475650000000000288e-03 2.282470000000000054e-01 4.080949999999999855e-03 9.742900000000000171e-02 2.650580000000000037e-03 3.560000000000000000e+11
5.000000000000000000e+03 8.389999999999999680e-01 0.000000000000000000e+00 1.454260000000000036e+04 3.853380000000000223e+02 3.001469999999999800e+03 2.690950000000000273e+02 4.592709999999999848e-01 1.686819999999999899e-03 2.129300000000000082e-01 1.579820000000000009e-03 4.707449999999999829e-02 7.123620000000000212e-04 5.092889999999999917e-01 1.218570000000000070e-02 3.258519999999999750e-01 1.149790000000000013e-02 1.683919999999999861e-01 8.014429999999999471e-03 3.700000000000000000e+11
5.000000000000000000e+03 8.399999999999999689e-01 0.000000000000000000e+00 1.499300000000000000e+04 1.707000000000000000e+03 3.800570000000000164e+03 1.240990000000000009e+03 -1.550359999999999960e+00 9.738639999999999580e-04 2.405569999999999986e+00 2.993430000000000049e-03 5.805290000000000283e+00 1.419409999999999943e-02 5.514719999999999622e-01 5.079209999999999801e-03 3.681949999999999945e-01 5.067330000000000098e-03 1.998910000000000131e-01 3.751870000000000031e-03 3.390000000000000000e+11
