L J CoefXY OpenQ avM errM avM2 errM2 avM4 errM4 avE errE avE2 errE2 U4 steps
10 0.1 1 1 9.62931e-05 0.000219171 0.0149461 2.14683e-05 0.000660019 2.139e-06 -0.0182759 1.4109e-05 0.000521862 6.14838e-07 0.0151323 102999900
10 0.2 1 1 6.61621e-05 0.000157964 0.0248935 3.6117e-05 0.00180134 5.5366e-06 -0.0764239 3.43407e-05 0.00669814 5.14068e-06 0.0310445 102999900
10 0.3 1 1 -0.000308695 0.00025109 0.0507879 7.03554e-05 0.00705412 2.00879e-05 -0.185547 5.49584e-05 0.0368053 2.1228e-05 0.0884062 102999900
10 0.4 1 1 -0.000437622 0.000410018 0.145907 0.000162282 0.0460655 8.85738e-05 -0.369795 7.99518e-05 0.142431 6.07812e-05 0.27872 102999900
10 0.5 1 1 -0.000494792 0.00069509 0.465164 0.000282355 0.287372 0.000260961 -0.657215 0.000114665 0.441376 0.000148371 0.557299 102999900
10 0.6 1 1 0.000702372 0.000892741 0.789101 0.000194554 0.655772 0.000243593 -0.954997 8.33884e-05 0.918354 0.000150633 0.648952 102999900
10 0.7 1 1 -0.000422201 0.000991342 0.913465 0.000122227 0.84398 0.000202582 -1.19424 7.96864e-05 1.42969 0.000186663 0.662847 102999900
10 0.8 1 1 0.000801195 0.00138922 0.959875 6.10675e-05 0.924757 0.000108137 -1.40354 4.82393e-05 1.97196 0.000132471 0.665437 100819900
10 0.9 1 1 -0.00208306 0.00132812 0.979959 4.24006e-05 0.961742 7.89808e-05 -1.59907 3.9667e-05 2.55825 0.000125142 0.666173 100069900
10 1 1 1 0.00151319 0.00151939 0.989467 2.89403e-05 0.979708 5.4825e-05 -1.78772 2.90515e-05 3.19669 0.000101558 0.666441 100459900
20 0.1 1 1 3.35032e-05 8.96271e-05 0.00382309 6.08932e-06 4.37094e-05 1.60305e-07 -0.0193079 9.82166e-06 0.000422579 3.82636e-07 0.00316374 102999900
20 0.2 1 1 -0.000117126 8.95224e-05 0.00666126 9.44134e-06 0.000131858 4.27817e-07 -0.0809763 1.87395e-05 0.0067861 3.05569e-06 0.00946053 102999900
20 0.3 1 1 -2.49176e-05 0.000147707 0.0151979 2.27961e-05 0.000675098 2.43284e-06 -0.198338 3.21922e-05 0.0399907 1.27952e-05 0.0257348 102999900
20 0.4 1 1 0.00025854 0.000279025 0.0696608 8.54543e-05 0.0119315 2.73683e-05 -0.404487 5.46953e-05 0.165347 4.29102e-05 0.180409 102999900
20 0.5 1 1 0.00130248 0.00128784 0.581762 0.00030528 0.37721 0.000309143 -0.757887 8.22651e-05 0.577009 0.000124379 0.628488 47909900
20 0.6 1 1 -0.00252497 0.00172312 0.878417 0.000130999 0.776436 0.000213453 -1.05366 6.32421e-05 1.11136 0.00013233 0.664584 34039900
20 0.7 1 1 0.002544 0.002162 0.952247 6.85508e-05 0.907937 0.000123473 -1.28659 4.61697e-05 1.65592 0.000118045 0.66624 32259900
20 0.8 1 1 0.00149007 0.00215496 0.978837 4.25189e-05 0.958521 8.21441e-05 -1.49722 3.9677e-05 2.24202 0.000118394 0.666528 31899900
20 0.9 1 1 -0.000546731 0.00300142 0.989968 2.40435e-05 0.980199 4.6901e-05 -1.69772 2.64021e-05 2.88245 8.91533e-05 0.666612 31939900
20 1 1 1 0.00497724 0.00522466 0.995009 1.64321e-05 0.990115 3.22239e-05 -1.89323 2.0308e-05 3.58442 7.65178e-05 0.666642 32029900
50 0.1 1 1 2.3488e-05 8.54863e-05 0.000621509 2.5487e-06 1.15697e-06 1.00107e-08 -0.0199094 9.15878e-06 0.000404574 3.69933e-07 0.00159561 102999900
50 0.2 1 1 -2.23153e-05 7.63094e-05 0.0011122 2.61082e-06 3.70347e-06 1.89334e-08 -0.0837814 1.68641e-05 0.00705725 2.84291e-06 0.00201736 102999900
50 0.3 1 1 6.24406e-05 7.42245e-05 0.00270416 4.42588e-06 2.18325e-05 8.10628e-08 -0.206081 2.11516e-05 0.0425799 8.72285e-06 0.00478081 102999900
50 0.4 1 1 6.35254e-05 0.000161976 0.018187 3.50927e-05 0.00093623 3.22363e-06 -0.426833 2.21358e-05 0.182502 1.88964e-05 0.0565097 98529900
50 0.5 1 1 -0.00128176 0.00456785 0.73574 0.000354487 0.545715 0.000476114 -0.828068 9.38504e-05 0.686043 0.00015514 0.663956 6949900
50 0.6 1 1 -0.000227284 0.00606439 0.923662 0.000115664 0.853504 0.000211871 -1.10965 7.52723e-05 1.23147 0.000166852 0.666529 5699900
50 0.7 1 1 0.00289587 0.00794569 0.970644 5.92435e-05 0.942238 0.000114602 -1.33997 5.48479e-05 1.7956 0.000146851 0.666635 5549900
50 0.8 1 1 -0.00339499 0.00890313 0.987535 3.72209e-05 0.975256 7.33749e-05 -1.552 4.33985e-05 2.40875 0.000134754 0.666656 5549900
50 0.9 1 1 -0.0239507 0.0129332 0.994403 2.2978e-05 0.988849 4.56257e-05 -1.75582 3.24528e-05 3.08292 0.000113851 0.666663 5569900
50 1 1 1 0.0330907 0.0212368 0.997385 1.65047e-05 0.994783 3.28606e-05 -1.95576 2.5485e-05 3.82501 9.95899e-05 0.666665 5609900
60 0.1 1 1 3.7436e-05 9.9701e-05 0.000429844 1.73566e-06 5.55047e-07 4.95091e-09 -0.019987 9.75884e-06 0.00040524 3.83001e-07 -0.00135162 102999900
60 0.2 1 1 -0.000150295 8.18666e-05 0.000778888 2.167e-06 1.82156e-06 1.07929e-08 -0.0841293 1.74337e-05 0.00710447 2.94078e-06 -0.00085729 102999900
60 0.3 1 1 3.1302e-05 7.04454e-05 0.00189732 3.16842e-06 1.07495e-05 4.05309e-08 -0.206968 2.1406e-05 0.0429131 8.85771e-06 0.00462954 102999900
60 0.4 1 1 -0.000130982 0.000145038 0.0133356 2.00491e-05 0.000511948 1.68771e-06 -0.429393 2.5598e-05 0.1846 2.16948e-05 0.0404258 87139900
60 0.5 1 1 -0.0104179 0.00756598 0.753154 0.000384538 0.569763 0.000552546 -0.835479 0.000115569 0.698256 0.000192839 0.665184 4749900
60 0.6 1 1 -0.0097642 0.0108457 0.928012 0.000147186 0.861419 0.000271834 -1.11565 0.00010666 1.24478 0.000237597 0.666585 3979900
60 0.7 1 1 0.00765761 0.0115217 0.972461 0.00012078 0.945736 0.000234254 -1.34586 0.000146155 1.8114 0.000393215 0.666647 3869900
60 0.8 1 1 0.0155153 0.0146189 0.988331 4.88831e-05 0.976817 9.65062e-05 -1.55798 6.22214e-05 2.42734 0.000193993 0.66666 3819900
60 0.9 1 1 0.0116881 0.0219025 0.994829 2.94506e-05 0.989693 5.8529e-05 -1.76226 4.14544e-05 3.10559 0.00014604 0.666664 3889900
60 1 1 1 0.0234327 0.0299137 0.997593 2.38021e-05 0.995195 4.74293e-05 -1.96267 3.33798e-05 3.85209 0.000130943 0.666666 3919900
